Name,Title,Source,Published At,Link,Sentiment,Activity,Description,Unnamed: 0,Scheme/Initiative,Description.1,Unnamed: 2,Name ,Initiative,No.
Narendra Modi,"Nobody knows what Narendra Modi is thinking. Surely, he must sense the tide is turning","{'name': 'ThePrint', 'icon': 'https://lh3.googleusercontent.com/haO6a652o2FAsyhyEPHevk4BGBw8m-El3DJNqMgwfIPjKF7TWXmhK-FXZzl-tqD9sH6nci6bYA', 'authors': ['Vir Sanghvi']}","08/29/2024, 02:48 AM, +0000 UTC",https://theprint.in/opinion/nobody-knows-what-narendra-modi-is-thinking-surely-he-must-sense-the-tide-is-turning/2242739/,positive,"The Occupational Safety, Health and Working Conditions Code, 2020",Consolidated and simplified laws regulating labor safety and working conditions.,,,,,,,
Narendra Modi,Indian Prime Minister Modi offers to help Ã¢ÂÂas a friendÃ¢ÂÂ to bring peace to Ukraine,"{'name': 'The Associated Press', 'icon': 'https://lh3.googleusercontent.com/M087pJgRw3PLf4gl-Y7U-tJn6uaN99AUbFIuX7fmMnhq5QeNylJQMq_UeYPPVaEPk-5jL9I3QA', 'authors': ['Hanna Arhirova']}","08/23/2024, 04:45 PM, +0000 UTC",https://apnews.com/article/india-ukraine-modi-zelenskyy-visit-b633d7c646b801117106f5500a138493,positive,"The Code on Social Security, 2020",Reformed social security provisions for workers in India.,,,,,,,
Narendra Modi,IndiaÃ¢ÂÂs Modi meets Ukrainian President Zelenskyy in Kyiv,"{'name': 'Al Jazeera English', 'icon': 'https://lh3.googleusercontent.com/l-Ps9rkWuApN8G3MB5uZC_a5G7iKCTITjMdpZFhm2rQf3U2M2Yr_KTYpzpmOPxDiUKgb9yN9ha8'}","08/23/2024, 09:28 AM, +0000 UTC",https://www.aljazeera.com/news/2024/8/23/indias-modi-arrives-in-kyiv-for-talks-with-ukrainian-president-zelenskyy,positive,"The Industrial Relations Code, 2020",Modernized labor laws to improve industrial relations.,,,,,,,
Narendra Modi,"PM Modi to address mega event in New York on September 22; Over 24,000 Indian-Americans signed up","{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8'}","08/28/2024, 04:55 AM, +0000 UTC",https://www.thehindu.com/news/national/over-24000-indian-americans-sign-up-for-mega-event-in-new-york-to-be-addressed-by-pm-modi/article68575583.ece,positive,"The Farmers (Empowerment and Protection) Agreement on Price Assurance and Farm Services Act, 2020",Allowed farmers to engage in contract farming.,,,,,,,
Narendra Modi,"India ready to help find peace, Modi tells Ukraine's Zelensky","{'name': 'BBC.com', 'icon': 'https://lh3.googleusercontent.com/_XS8V0jvDj-pe4NDxsc_8_YEk38hNH30ocGDk7oEwtRZNw-kUUuQouAYLFO0uIPFLX05QCKyoSo', 'authors': ['Nick Beake']}","08/23/2024, 03:18 PM, +0000 UTC",https://www.bbc.com/news/articles/cx28xrzzrxqo,positive,"The Essential Commodities (Amendment) Act, 2020",Amended the regulation of essential commodities.,,,,,,,
Narendra Modi,Indian Leader Visits Kyiv as Ukraine Pushes Diplomacy,"{'name': 'The New York Times', 'icon': 'https://lh3.googleusercontent.com/tDFSwtr61ZReDD_jw6kEPWegHMSqGEHx-ZS_t-e10We-GfWEPVYkn0uLk_Vn8XQHg8wcnhMWmug', 'authors': ['Andrew E. Kramer']}","08/23/2024, 10:07 AM, +0000 UTC",https://www.nytimes.com/2024/08/23/world/europe/ukraine-modi-india.html,neutral,"The Medical Termination of Pregnancy Amendment Act, 2021",Extended the permissible period for abortion under specific circumstances.,,,,,,,
Narendra Modi,Indian PM Modi offers to help 'as a friend' to bring peace to Ukraine,"{'name': 'Euronews', 'icon': 'https://lh3.googleusercontent.com/dDXRCHYvgF00H8KgCzNNfOyKnYuPV2iuTz2kQ6KtXFQDIqgex3VcECy9Qpn0uoYg7_6mCgAFgA'}","08/23/2024, 04:58 PM, +0000 UTC",https://www.euronews.com/my-europe/2024/08/23/indian-pm-modi-offers-to-help-as-a-friend-to-bring-peace-to-ukraine,positive,"The National Commission for Allied and Healthcare Professions Act, 2021",Established a regulatory framework for allied healthcare professions.,,,,,,,
Narendra Modi,Modi calls for diplomatic solution in Ukraine visit; Biden announces new US aid,"{'name': 'FRANCE 24 English', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.france24.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","08/23/2024, 04:34 AM, +0000 UTC",https://www.france24.com/en/asia-pacific/20240823-in-historic-visit-to-ukraine-indian-pm-modi-seeks-to-advocate-for-peace,neutral,"The Surrogacy (Regulation) Act, 2021",Regulated surrogacy in India to prevent exploitation.,,,,,,,
Narendra Modi,"India's Modi government pulls key policies, bills after backlash","{'name': 'Nikkei Asia', 'icon': 'https://lh3.googleusercontent.com/iSV8NnY3b7ZoSGn8KgM9zouOqDBT4Hd4jslHZZeDI_i5FmxiHXtMcVPhrdhGELgQUZCSYAzu', 'authors': ['Kiran Mamgain Sharma']}","08/26/2024, 09:15 AM, +0000 UTC",https://asia.nikkei.com/Politics/India-s-Modi-government-pulls-key-policies-bills-after-backlash,positive,"The Assisted Reproductive Technology (Regulation) Act, 2021",Established a legal framework for assisted reproductive technologies.,,,,,,,
Narendra Modi,"In Kyiv, Indian PM urges Zelenskiy to sit down for talks with Russia","{'name': 'Reuters', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Pavel Polityuk', 'Tom Balmforth']}","08/23/2024, 06:04 PM, +0000 UTC",https://www.reuters.com/world/europe/indian-pm-modi-set-visit-kyiv-talks-with-ukraines-zelenskiy-2024-08-23/,neutral,"The Constitution (Scheduled Tribes) Order (Amendment) Act, 2021",Amended the list of Scheduled Tribes in several states.,,,,,,,
Narendra Modi,Modi: India ready to play role to bring peace to Ukraine,"{'name': 'Voice of America', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.voanews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Anjana Pasricha']}","08/23/2024, 08:29 AM, +0000 UTC",https://www.voanews.com/a/indian-pm-modi-arrives-in-kyiv-for-talks-with-ukraine-s-zelenskyy-/7753880.html,positive,"The Airports Economic Regulatory Authority of India (Amendment) Act, 2021",Amended the functioning and powers of the Airports Economic Regulatory Authority.,,,,,,,
Narendra Modi,"Biden, Modi discuss Ukraine war after PM's visit, situation in Bangladesh","{'name': 'Reuters', 'icon': 'https://lh3.googleusercontent.com/_AzfrIDK0Y2J1UxMf2Vsk_jplo_b1FNy-wN0SSwukEJcPYmVFYFXdE-7vUECL8snyZJXUN5dR94', 'authors': ['Kanishka Raj Singh']}","08/26/2024, 11:45 PM, +0000 UTC",https://www.reuters.com/world/biden-indias-modi-discuss-ukraine-war-indo-pacific-us-says-2024-08-26/,neutral,"The Major Port Authorities Act, 2021",Reformed the governance of major ports in India.,,,,,,,
Narendra Modi,"As Modi visits Poland, PM Tusk eyes stronger defence industry ties with India","{'name': 'Reuters', 'icon': 'https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.reuters.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Anna Koper']}","08/22/2024, 11:10 AM, +0000 UTC",https://www.reuters.com/world/modi-visits-poland-pm-tusk-eyes-stronger-defence-industry-ties-with-india-2024-08-22/,neutral,"The Juvenile Justice (Care and Protection of Children) Amendment Act, 2021",Strengthened provisions for the care and protection of juveniles.,,,,,,,
Narendra Modi,Modi meets Polish leaders ahead of Ã¢ÂÂlandmarkÃ¢ÂÂ trip to Ukraine,"{'name': 'CNN', 'icon': 'https://lh3.googleusercontent.com/8zdvTbISHUn-4iHkauW-_yQSGPD9BMrx9EWfqTIhiVm2YMYqhHC1HJWNDQoSOkMk0MRPYKxjIg', 'authors': ['Simone Mccarthy']}","08/22/2024, 12:33 PM, +0000 UTC",https://www.cnn.com/2024/08/22/europe/modi-poland-ukraine-zelensky-intl-hnk/index.html,negative,"The Narcotic Drugs and Psychotropic Substances (Amendment) Act, 2021",Amended the legal framework for narcotic drugs.,,,,,,,
Narendra Modi,Modi's Balancing Act Continues With Ukraine Visit,"{'name': 'Radio Free Europe / Radio Liberty', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.rferl.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Dragan Stavljanin']}","08/23/2024, 05:09 AM, +0000 UTC",https://www.rferl.org/a/ukraine-modi-visit-balancing-act-russia-india/33088949.html,positive,"The Central Sanskrit Universities Act, 2020",Established and governed Central Sanskrit Universities.,,,,,,,
Narendra Modi,Indian PM Modi offers compensation after 27 killed in Nepal bus crash,"{'name': 'UPI News', 'icon': 'https://lh3.googleusercontent.com/uSRQKFW6trtjU5VhsMh8oQW0VmBpHMvzUnt0Z1dK6AkanEYr91RLTWEs9VPYSLQfqrTOqJP1G3g'}","08/24/2024, 10:54 PM, +0000 UTC",https://www.upi.com/Top_News/World-News/2024/08/24/India-Modi-offers-compensation-27-killed-Nepal-bus-crash/2631724537506/,negative,"The Foreign Contribution (Regulation) Amendment Act, 2020",Regulated foreign contributions to organizations in India.,,,,,,,
Narendra Modi,IndiaÃ¢ÂÂs Narendra Modi Seeks to Repair Ukraine Ties With a Visit,"{'name': 'The Wall Street Journal', 'icon': 'https://lh3.googleusercontent.com/-Wo0rkJtT8uQ7BFow-YiRKzVlJNka-TbZM6_e2l3XQwNNqfPe1mR8Rc4_o_qAOJFb32YwQ4I1NM', 'authors': ['rajesh roy', 'Isabel Coles', 'Tripti Lahiri']}","08/23/2024, 05:17 PM, +0000 UTC",https://www.wsj.com/world/indias-narendra-modi-seeks-to-repair-ukraine-ties-with-a-visit-95ed468a,positive,"The Repealing and Amending Act, 2017",Repealed obsolete laws and amended certain provisions.,,,,,,,
Narendra Modi,Modi arrives in Kyiv to meet Zelenskyy after Russia trip,"{'name': 'Euronews', 'icon': 'https://lh3.googleusercontent.com/dDXRCHYvgF00H8KgCzNNfOyKnYuPV2iuTz2kQ6KtXFQDIqgex3VcECy9Qpn0uoYg7_6mCgAFgA'}","08/23/2024, 08:39 AM, +0000 UTC",https://www.euronews.com/my-europe/2024/08/23/indian-pm-modi-arrives-in-ukraine-following-controversial-russia-trip,positive,"The Punjab Municipal Corporation Law (Extension to Chandigarh) Amendment Act, 2017",Extended municipal corporation laws to Chandigarh.,,,,,,,
Narendra Modi,India stands 'firmly for peace' PM Modi tells Ukraine's Zelensky,"{'name': 'RFI English', 'icon': 'https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.rfi.fr&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL'}","08/23/2024, 12:59 PM, +0000 UTC",https://www.rfi.fr/en/international/20240823-india-stands-firmly-for-peace-pm-modi-tells-ukraine-s-zelensky,neutral,"The Direct Tax Vivad se Vishwas Act, 2020",Provided a mechanism for settling tax disputes.,,,,,,,
Narendra Modi,"PM Modi and US President Biden discuss Ukraine, safety of Hindus in Bangladesh","{'name': 'The Indian Express', 'icon': 'https://lh3.googleusercontent.com/kkBP5GMG7WhGg_OaGvdoYp6jxPdIe5_HE4NLhmd8-80hpps2K2BcHM47_XxnxBo9ub0jbx1ZZQ', 'authors': ['shubhajit roy']}","08/26/2024, 05:11 PM, +0000 UTC",https://indianexpress.com/article/india/pm-modi-holds-telephonic-conversation-with-us-president-joe-biden-9534470/,positive,"The Constitution (One Hundred and Third Amendment) Act, 2019",Introduced a 10% reservation for economically weaker sections.,,,,,,,
Narendra Modi,Putin meets Indian prime minister in Russia on his first visit since Moscow sent troops into Ukraine,"{'name': 'The Associated Press', 'icon': 'https://lh3.googleusercontent.com/M087pJgRw3PLf4gl-Y7U-tJn6uaN99AUbFIuX7fmMnhq5QeNylJQMq_UeYPPVaEPk-5jL9I3QA', 'authors': ['Jim Heintz', 'Krutika Pathi', 'Vladimir Isachenkov']}","07/08/2024, 07:00 AM, +0000 UTC",https://apnews.com/article/russia-india-narendra-modi-vladimir-putin-9180f1a41b9fde42da0f66a951cef6be,positive,"The Right of Children to Free and Compulsory Education (Amendment) Act, 2019",Amended provisions to ensure better education standards.,,,,,,,
Narendra Modi,ModiÃ¢ÂÂs image in the U.S. is more important than ever after election setbacks,"{'name': 'NBC News', 'icon': 'https://lh3.googleusercontent.com/qQgvCbPniYSaGbEdmp0fsD9Te7E2jE7TTCuy1h6h71QDEMnN-xVVrPE5xN5k5a6MF0XkOaNN-w', 'authors': ['Sakshi Venkatraman']}","06/06/2024, 07:00 AM, +0000 UTC",https://www.nbcnews.com/news/asian-america/narendra-modi-india-election-us-opinion-rcna155712,positive,"The Indian Institute of Petroleum and Energy Bill, 2017",Established the Indian Institute of Petroleum and Energy.,,,,,,,
Narendra Modi,"Narendra Modi briefs Joe Biden on Ukraine visit in call, discusses Ã¢ÂÂshared concernsÃ¢ÂÂ about Bangladesh","{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8', 'authors': ['Suhasini Haidar']}","08/26/2024, 06:58 PM, +0000 UTC",https://www.thehindu.com/news/national/modi-briefs-biden-on-ukraine-visit-in-call-discusses-shared-concerns-about-bangladesh/article68570293.ece,positive,"The Dadra and Nagar Haveli and Daman and Diu (Merger of Union Territories) Act, 2019",Merged the two Union Territories into one.,,,,,,,
Narendra Modi,Congress slams Modi over collapsed Shivaji statue: Ã¢ÂÂWill he apologise for putting ambitions over legacy?,"{'name': 'Hindustan Times', 'icon': 'https://lh3.googleusercontent.com/J-YyMvY1q2skuu_Edi3G4Il3Ovb4IRsVXMNstpJJYmKamxqh7VK6ykjCt2POiO9NG49xPj4tbQ'}","08/28/2024, 03:36 PM, +0000 UTC",https://www.hindustantimes.com/india-news/congress-slams-modi-over-collapsed-shivaji-statue-will-he-apologise-for-putting-ambitions-over-legacy-101724855613627.html,neutral,"The International Financial Services Centres Authority Act, 2019",Established an authority to regulate financial services centers.,,,,,,,
Narendra Modi,Modi tells Zelenskiy he is ready to work Ã¢ÂÂas a friendÃ¢ÂÂ to bring about peace deal,"{'name': 'The Guardian', 'icon': 'https://lh3.googleusercontent.com/SU8FywVNtcrG-wgjvZ_0D1-3JR_pN9LNSgjULFH74N748KVyEdkF1jdbvP4Lr7_ClbPZxL-iPw', 'authors': ['Luke Harding', 'Dan Sabbagh']}","08/23/2024, 06:36 AM, +0000 UTC",https://www.theguardian.com/world/article/2024/aug/23/modi-to-visit-ukraine-amid-controversy-over-hug-for-putin,positive,"The Criminal Law (Amendment) Act, 2018",Strengthened laws related to crimes against women.,,,,,,,
Narendra Modi,Ukraine war: away from the battlefield the diplomatic wrangling hots up with Modi visit to Kyiv,"{'name': 'The Conversation', 'icon': 'https://encrypted-tbn0.gstatic.com/faviconV2?url=https://theconversation.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Stefan Wolff']}","08/27/2024, 04:18 PM, +0000 UTC",https://theconversation.com/ukraine-war-away-from-the-battlefield-the-diplomatic-wrangling-hots-up-with-modi-visit-to-kyiv-237161,neutral,"The Prevention of Corruption (Amendment) Act, 2018",Amended anti-corruption laws to include stringent punishments.,,,,,,,
Narendra Modi,PM Narendra Modi says strengthening laws to ensure stringent punishment for crimes against women,"{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8', 'authors': ['Abhinay Deshpande']}","08/25/2024, 08:46 AM, +0000 UTC",https://www.thehindu.com/news/national/pm-modi-interacts-with-lakhpati-didis-in-maharashtras-jalgaon/article68565036.ece,positive,"The Fugitive Economic Offenders Act, 2018",Allowed confiscation of assets of fugitives involved in economic offenses.,,,,,,,
Narendra Modi,"Unrivalled for a decade, India's Modi must now learn to share power","{'name': 'Reuters India', 'icon': 'https://lh3.googleusercontent.com/P7hozhx1fnn_aAUwgsRjyaeJZ7jiC2bmh_AhaUoYtRVrQwaoRm0Ipgsge_vYqjL6kmiQDmW_FA', 'authors': ['Shivangi Acharya', 'Krishna N. Das']}","06/04/2024, 07:00 AM, +0000 UTC",https://www.reuters.com/world/india/indias-modi-set-record-third-term-wings-clipped-2024-06-04/,neutral,"The Muslim Women (Protection of Rights on Marriage) Act, 2019",Criminalized the practice of instant triple talaq.,,,,,,,
Narendra Modi,India's Modi meets Zelensky to discuss peace agenda in war with Russia,"{'name': 'UPI News', 'icon': 'https://lh3.googleusercontent.com/uSRQKFW6trtjU5VhsMh8oQW0VmBpHMvzUnt0Z1dK6AkanEYr91RLTWEs9VPYSLQfqrTOqJP1G3g', 'authors': ['Paul Godfrey']}","08/23/2024, 11:35 AM, +0000 UTC",https://www.upi.com/Top_News/World-News/2024/08/23/Ukraine-Indian-PM-Moditalks-with-Zelensky/2371724401418/,negative,"The Aadhaar and Other Laws (Amendment) Act, 2019",Strengthened the legal framework for Aadhaar.,,,,,,,
Narendra Modi,Shivaji Maharaj statue inaugurated by PM Modi in 2023 collapses in Maharashtra,"{'name': 'The Hindu', 'icon': 'https://lh3.googleusercontent.com/f-uqqU36NMn3rQd48Kaf8OWzjGwy-Biq-E4qs8vi-Bvyg_Dng-tLwPbj85PEyySanZtsvQSvGo8', 'authors': ['Abhinay Deshpande']}","08/26/2024, 01:15 PM, +0000 UTC",https://www.thehindu.com/news/national/maharashtra/shivaji-maharaj-statue-inaugurated-by-pm-modi-last-year-collapses-in-maharashtra/article68569072.ece,positive,"The Protection of Human Rights (Amendment) Act, 2019",Strengthened the framework for human rights protection.,,,,,,,
Narendra Modi,Modi claims victory in India's election but drop in support forces him to rely on coalition partners,"{'name': 'The Associated Press', 'icon': 'https://lh3.googleusercontent.com/M087pJgRw3PLf4gl-Y7U-tJn6uaN99AUbFIuX7fmMnhq5QeNylJQMq_UeYPPVaEPk-5jL9I3QA', 'authors': ['Krutika Pathi', 'Sheikh Saaliq', 'David Rising']}","06/04/2024, 07:00 AM, +0000 UTC",https://apnews.com/article/india-election-results-2024-lok-sabha-modi-bjp-7893efecc83fa8225a611f174e6420ee,positive,"The Transgender Persons (Protection of Rights) Act, 2019",Provided a legal framework to protect transgender rights.,,,,,,,
Narendra Modi,Why did US readout on Modi-Biden call omit Bangladesh crisis? The controversy explained,"{'name': 'Firstpost', 'icon': 'https://lh3.googleusercontent.com/k7siJQMJMgu5AcfU4N_7C-2cg_j4eaVTGnPnICIsOALqS7pM3U2ZwsNrGrNdCGabqa6ZzPVb'}","08/28/2024, 04:39 AM, +0000 UTC",https://www.firstpost.com/explainers/us-readout-modi-biden-call-bangladesh-crisis-controversy-explained-13808909.html,positive,"The Motor Vehicles (Amendment) Act, 2019",Overhauled motor vehicle laws to improve road safety.,,,,,,,
Narendra Modi,"""India Not Neutral, On Side Of Peace"": PM Modi On Historic Ukraine Visit","{'name': 'NDTV', 'icon': 'https://lh3.googleusercontent.com/tdxgqIuMCdYXjnxBEi-22G1al2_n0slQR4vppoxUyB3fupq2sPqxL3okZNKW_QWJrymCWx6k_g', 'authors': ['Debanish Achom']}","08/24/2024, 03:29 AM, +0000 UTC",https://www.ndtv.com/india-news/history-made-today-says-ukraine-president-volodymyr-zelensky-after-meeting-pm-narendra-modi-10-points-6403784,positive,"The Jammu and Kashmir Reservation (Amendment) Act, 2019",Extended reservation benefits in Jammu and Kashmir.,,,,,,,
Narendra Modi,'How dare you didi?': Mamata Banerjee's 'burn' threat to PM Modi sparks outrage,"{'name': 'The Times of India', 'icon': 'https://lh3.googleusercontent.com/d9mz-OKghOQPsgxRv1BQzQAI44ifiA_6aAk-gRwo4_32mZXM-TSd5vIY1rL1P2LUH9mFQPnUSRE'}","08/29/2024, 04:16 AM, +0000 UTC",https://timesofindia.indiatimes.com/india/how-dare-you-didi-mamata-banerjees-burn-threat-to-pm-modi-sparks-outrage/articleshow/112883931.cms,positive,"The Unlawful Activities (Prevention) Amendment Act, 2019",Empowered the government to designate individuals as terrorists.,,,,,,,
Narendra Modi,ModiÃ¢ÂÂs Politics Hinder Neighborhood Ties,"{'name': 'Foreign Policy', 'icon': 'https://encrypted-tbn1.gstatic.com/faviconV2?url=https://foreignpolicy.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL', 'authors': ['Sushant Singh']}","08/22/2024, 06:00 PM, +0000 UTC",https://foreignpolicy.com/2024/08/22/india-modi-bangladesh-hasina-neighborhood-first-bjp-politics/,neutral,"The Central Goods and Services Tax (Amendment) Act, 2018",Amended the GST law to streamline tax processes.,,,,,,,
